qid,language,lang_code,question
q000yes,Nynorsk,nno-NOR,Ja
q000yes,Polish,pol-POL,Tak
q000yes,Portuguese,por-PRT,Sim
q000yes,Russian,rus-KAZ,Да
q000yes,Serbian / Serb,srp-SRB,Da
q000yes,Slovak,slo-SVK,Áno
q000yes,Slovenian,slv-SVN,Da
q000yes,Spanish,esp-ESP,Sí
q000yes,Swedish,swe-SWE,Ja
q000yes,Thai,tha-THA,ใช่
q000yes,Turkish,tur-TUR,Evet
q000no,Albanian,sqi-ALB,Jo
q000no,Arabic,ara-ARE,لا
q000no,Azerbaijani / Azeri,aze-QAZ,Xeyr
q000no,Basque,eus-ESP,Ez
q000no,Bokmål,nob-NOR,Nei
q000no,Bosnian,bos-BIH,Ne
q000no,Bulgarian,bul-BGR,Не
q000no,Catalan,cat-ESP,No
q000no,Chinese,zho-CHN,否
q000no,Croatian,hrv-HRV,Ne
q000no,Czech,ces-CZE,Ne
q000no,Danish,dan-DNK,Nej
q000no,Dutch,nld-NLD,Nee
q000no,English,eng-CAN,No
q000no,Estonian,est-EST,Ei
q000no,Finnish,fin-FIN,Ei
q000no,French,fra-FRA,Non
q000no,Galician,glg-ESP,Non
q000no,Georgian,geo-GEO,არა
q000no,German,deu-DEU,Nein
q000no,Greek,ell-GRC,Όχι
q000no,Hebrew,heb-ISR,לא
q000no,Hungarian,hun-HUN,Nem
q000no,Icelandic,isl-ISL,Nei
q000no,Indonesian,ind-IDN,Tidak
q000no,Italian,ita-ITA,No
q000no,Japanese,jpn-JPN,いいえ
q000no,Kazakh,kaz-KAZ,Жоқ
q000no,Korean,kor-KOR,아니요
q000no,Latvian,lav-LVA,Nē
q000no,Lithuanian,lit-LTU,Ne
q000no,Malay,msa-MYS,Tidak
q000no,Nynorsk,nno-NOR,Nei
q000no,Polish,pol-POL,Nie
q000no,Portuguese,por-PRT,Não
q000no,Russian,rus-KAZ,Нет
q000no,Serbian / Serb,srp-SRB,Ne
q000no,Slovak,slo-SVK,Nie
q000no,Slovenian,slv-SVN,Ne
q000no,Spanish,esp-ESP,No
q000no,Swedish,swe-SWE,Nej
q000no,Thai,tha-THA,ไม่ใช่
q000no,Turkish,tur-TUR,Hayır
