qid,language,lang_code,question,context,options,gold,answer_type,category,difficulty,rationale,source
q001,Galician,glg-ESP,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Georgian,geo-GEO,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,German,deu-DEU,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Greek,ell-GRC,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Hebrew,heb-ISR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Hungarian,hun-HUN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Icelandic,isl-ISL,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Indonesian,ind-IDN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Italian,ita-ITA,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Japanese,jpn-JPN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Kazakh,kaz-KAZ,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Korean,kor-KOR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Latvian,lav-LVA,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Lithuanian,lit-LTU,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Malay,msa-MYS,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Nynorsk,nno-NOR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Polish,pol-POL,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Portuguese,por-PRT,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Russian,rus-KAZ,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Serbian / Serb,srp-SRB,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Slovak,slo-SVK,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Slovenian,slv-SVN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Spanish,esp-ESP,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Swedish,swe-SWE,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Thai,tha-THA,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Turkish,tur-TUR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q002,Albanian,sqi-ALB,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Arabic,ara-ARE,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Azerbaijani / Azeri,aze-QAZ,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Basque,eus-ESP,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Bokmål,nob-NOR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Bosnian,bos-BIH,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Bulgarian,bul-BGR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Catalan,cat-ESP,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Chinese,zho-CHN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Croatian,hrv-HRV,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Czech,ces-CZE,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Danish,dan-DNK,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Dutch,nld-NLD,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,English,eng-CAN,"If this sales trend continues, what will be the first year the number of DVDs sold is less than 1 million according to the model?","The equation of the line is d = 254 – 22n, where d is the number of DVDs sold (in millions) and n is the number of years after 2008.","[""A) 2018"", ""B) 2019"", ""C) 2020"", ""D) 2021""]",C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Estonian,est-EST,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Finnish,fin-FIN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,French,fra-FRA,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Galician,glg-ESP,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Georgian,geo-GEO,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,German,deu-DEU,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Greek,ell-GRC,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Hebrew,heb-ISR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Hungarian,hun-HUN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Icelandic,isl-ISL,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Indonesian,ind-IDN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Italian,ita-ITA,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Japanese,jpn-JPN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Kazakh,kaz-KAZ,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Korean,kor-KOR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Latvian,lav-LVA,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Lithuanian,lit-LTU,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Malay,msa-MYS,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Nynorsk,nno-NOR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Polish,pol-POL,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Portuguese,por-PRT,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Russian,rus-KAZ,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Serbian / Serb,srp-SRB,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Slovak,slo-SVK,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Slovenian,slv-SVN,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Spanish,esp-ESP,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Swedish,swe-SWE,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Thai,tha-THA,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q002,Turkish,tur-TUR,,,,C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q003,Albanian,sqi-ALB,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Arabic,ara-ARE,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Azerbaijani / Azeri,aze-QAZ,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Basque,eus-ESP,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Bokmål,nob-NOR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Bosnian,bos-BIH,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Bulgarian,bul-BGR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Catalan,cat-ESP,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Chinese,zho-CHN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Croatian,hrv-HRV,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Czech,ces-CZE,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Danish,dan-DNK,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Dutch,nld-NLD,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,English,eng-CAN,What is the greatest number of medium boxes that could fit into truck A?,"Mara’s family decides to rent truck A.
**Interior Storage-Compartment Dimensions**
| Truck Size | Length of Floor | Width of Floor | Height |
|-----------|----------------|---------------|--------|
| A                | 4 metres            | 2 metres           | 2 metres |
**Box Dimensions**
| Box Size | Length | Width | Height |
|---------|--------|-------|--------|
| Medium | 0.5 metre | 0.5 metre | 0.5 metre |","[""A) 320"", ""B) 128"", ""C) 96"", ""D) 64""]",B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Estonian,est-EST,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Finnish,fin-FIN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,French,fra-FRA,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Galician,glg-ESP,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Georgian,geo-GEO,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,German,deu-DEU,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Greek,ell-GRC,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Hebrew,heb-ISR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Hungarian,hun-HUN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Icelandic,isl-ISL,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Indonesian,ind-IDN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Italian,ita-ITA,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Japanese,jpn-JPN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Kazakh,kaz-KAZ,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Korean,kor-KOR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Latvian,lav-LVA,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Lithuanian,lit-LTU,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Malay,msa-MYS,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Nynorsk,nno-NOR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Polish,pol-POL,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Portuguese,por-PRT,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Russian,rus-KAZ,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Serbian / Serb,srp-SRB,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Slovak,slo-SVK,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Slovenian,slv-SVN,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Spanish,esp-ESP,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Swedish,swe-SWE,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Thai,tha-THA,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q003,Turkish,tur-TUR,,,,B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q004,Albanian,sqi-ALB,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Arabic,ara-ARE,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Azerbaijani / Azeri,aze-QAZ,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Basque,eus-ESP,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Bokmål,nob-NOR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Bosnian,bos-BIH,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Bulgarian,bul-BGR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Catalan,cat-ESP,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Chinese,zho-CHN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Croatian,hrv-HRV,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Czech,ces-CZE,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Danish,dan-DNK,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Dutch,nld-NLD,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,English,eng-CAN,"The company which rents the trucks confirmed that truck A can be filled using only medium boxes so that the entire space in the storage compartment is used.
Mara claims that a medium box takes up 2/3 of the space of a large box, so she concludes that the number of large boxes that will fill truck A is 2/3 the number of medium boxes. 
Which one of the following statements about Mara’s conclusion is true?","**Interior Storage-Compartment Dimensions**
| Truck Size | Length of Floor | Width of Floor | Height |
|-----------|----------------|---------------|--------|
| A                | 4 metres            | 2 metres           | 2 metres |
**Box Dimensions**
| Box Size | Length | Width | Height |
|---------|--------|-------|--------|
| Medium | 0.5 metre | 0.5 metre | 0.5 metre |
| Large | 0.5 metre | 0.5 metre | 0.75 metre |","[""A) She is correct, because the height of a medium box is 2/3 the height of a large box."", ""B) She is correct, because 3 medium boxes can always be fit into the same space as 2 large boxes."", ""C) She is not correct, because none of the interior storage dimensions of truck A are multiples of 0.75, which is the height of a large box."", ""D) She is not correct, because the height of a large box is 1.5 times the height of a medium box.""]",C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Estonian,est-EST,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Finnish,fin-FIN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,French,fra-FRA,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Galician,glg-ESP,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Georgian,geo-GEO,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,German,deu-DEU,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Greek,ell-GRC,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Hebrew,heb-ISR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Hungarian,hun-HUN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Icelandic,isl-ISL,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Indonesian,ind-IDN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Italian,ita-ITA,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Japanese,jpn-JPN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Kazakh,kaz-KAZ,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Korean,kor-KOR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Latvian,lav-LVA,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Lithuanian,lit-LTU,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Malay,msa-MYS,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Nynorsk,nno-NOR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Polish,pol-POL,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Portuguese,por-PRT,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Russian,rus-KAZ,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Serbian / Serb,srp-SRB,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Slovak,slo-SVK,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Slovenian,slv-SVN,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Spanish,esp-ESP,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Swedish,swe-SWE,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Thai,tha-THA,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q004,Turkish,tur-TUR,,,,C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q005,Albanian,sqi-ALB,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Arabic,ara-ARE,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Azerbaijani / Azeri,aze-QAZ,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Basque,eus-ESP,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Bokmål,nob-NOR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Bosnian,bos-BIH,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Bulgarian,bul-BGR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Catalan,cat-ESP,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Chinese,zho-CHN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Croatian,hrv-HRV,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Czech,ces-CZE,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Danish,dan-DNK,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Dutch,nld-NLD,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,English,eng-CAN,"On average, approximately how many million kilometres from the Sun is the planet Neptune?","The table below shows the average distance from the Sun to the primary planets in Astronomical Units (au). 
1 au is approximately 150 million kilometres. 
| Planet | Average distance from Sun in au | 
|-------|---------------------------------|
| Mercury  | 0.39   |
| Earth       | 1.00   |
| Neptune | 30.05 |","[""A) 180 million km"", ""B) 450 million km"", ""C) 1500 million km"", ""D) 4500 million km""]",D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Estonian,est-EST,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Finnish,fin-FIN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,French,fra-FRA,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Galician,glg-ESP,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Georgian,geo-GEO,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,German,deu-DEU,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Greek,ell-GRC,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Hebrew,heb-ISR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Hungarian,hun-HUN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Icelandic,isl-ISL,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Indonesian,ind-IDN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Italian,ita-ITA,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Japanese,jpn-JPN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Kazakh,kaz-KAZ,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Korean,kor-KOR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Latvian,lav-LVA,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Lithuanian,lit-LTU,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Malay,msa-MYS,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Nynorsk,nno-NOR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Polish,pol-POL,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Portuguese,por-PRT,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Russian,rus-KAZ,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Serbian / Serb,srp-SRB,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Slovak,slo-SVK,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Slovenian,slv-SVN,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Spanish,esp-ESP,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Swedish,swe-SWE,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Thai,tha-THA,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q005,Turkish,tur-TUR,,,,D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q006,Albanian,sqi-ALB,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Arabic,ara-ARE,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Azerbaijani / Azeri,aze-QAZ,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Basque,eus-ESP,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Bokmål,nob-NOR,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Bosnian,bos-BIH,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
q006,Bulgarian,bul-BGR,,,,A,mc,Math,level 5,,"PISA 2022, math, Points"
